Day,Confirmed,Deaths,Recovered,Active
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,7,0,0,7
2020-03-11,13,0,0,13
2020-03-12,17,0,0,17
2020-03-13,24,0,0,24
2020-03-14,38,0,0,38
2020-03-15,51,0,0,51
2020-03-16,62,0,0,62
2020-03-17,62,0,0,62
2020-03-18,116,0,0,116
2020-03-19,150,0,0,150
2020-03-20,202,0,0,202
2020-03-21,240,0,0,240
2020-03-22,274,0,2,272
2020-03-23,402,0,4,398
2020-03-24,554,0,4,550
2020-03-25,709,0,12,697
2020-03-26,927,0,12,915
2020-03-27,1170,1,31,1138
2020-03-28,1187,1,31,1155
2020-03-29,1280,2,31,1247
2020-03-30,1326,3,31,1292
2020-03-31,1353,5,31,1317
2020-04-01,1380,5,50,1325
2020-04-02,1462,5,50,1407
2020-04-03,1505,9,95,1401
2020-04-04,1585,9,95,1481
2020-04-05,1655,11,95,1549
2020-04-06,1686,12,95,1579
2020-04-07,1749,13,95,1641
2020-04-08,1845,18,95,1732
2020-04-09,1934,18,95,1821
2020-04-10,2003,24,410,1569
2020-04-11,2028,25,410,1593
2020-04-12,2173,25,410,1738
2020-04-13,2272,27,410,1835
2020-04-14,2415,27,410,1978
2020-04-15,2506,34,410,2062
2020-04-16,2605,48,903,1654
2020-04-17,2783,50,903,1830
2020-04-18,3034,52,903,2079
2020-04-19,3158,54,903,2201
2020-04-20,3300,58,1055,2187
2020-04-21,3465,58,1055,2352
2020-04-22,3635,65,1055,2515
2020-04-23,3953,75,1473,2405
2020-04-24,4220,79,1473,2668
2020-04-25,4361,86,1473,2802
2020-04-26,4546,87,1473,2986
2020-04-27,4793,90,1473,3230
2020-04-28,4996,93,2073,2830
2020-04-29,5350,103,2073,3174
2020-04-30,5647,103,2073,3471
2020-05-01,5951,116,2382,3453
2020-05-02,6336,123,2549,3664
2020-05-03,6783,131,2549,4103
2020-05-04,7220,138,2746,4336
2020-05-05,7572,148,2746,4678
2020-05-06,7808,153,3153,4502
2020-05-07,8232,161,3153,4918
2020-05-08,8895,178,3153,5564
2020-05-09,9420,186,3983,5251
2020-05-10,10015,194,4173,5648
2020-05-11,10652,206,4357,6089
2020-05-12,11350,206,4357,6787
2020-05-13,12074,219,4745,7110
2020-05-14,12739,238,5676,6825
2020-05-15,13524,247,6083,7194
2020-05-16,14355,261,6478,7616
2020-05-17,15515,264,7006,8245
2020-05-18,16433,286,7298,8849
2020-05-19,17200,312,7960,8928
2020-05-20,18003,339,8950,8714
2020-05-21,19137,369,8950,9818
2020-05-22,20125,397,10104,9624
2020-05-23,21343,407,10104,10832
2020-05-24,22583,429,11100,11054
2020-05-25,23615,481,11917,11217
2020-05-26,24264,524,12741,10999
2020-05-27,25937,552,13451,11934
2020-05-28,27403,577,14370,12456
2020-05-29,29240,611,15093,13536
2020-05-30,30967,643,16116,14208
2020-05-31,32683,683,16809,15191
2020-06-01,34357,705,17291,16361
