Day,Confirmed,Deaths,Recovered,Active
2020-01-31,2,0,0,2
2020-02-01,2,0,0,2
2020-02-02,2,0,0,2
2020-02-03,2,0,0,2
2020-02-04,2,0,0,2
2020-02-05,2,0,0,2
2020-02-06,2,0,0,2
2020-02-07,3,0,0,3
2020-02-08,3,0,0,3
2020-02-09,3,0,0,3
2020-02-10,3,0,0,3
2020-02-11,3,0,0,3
2020-02-12,3,0,0,3
2020-02-13,3,0,0,3
2020-02-14,3,0,0,3
2020-02-15,3,0,0,3
2020-02-16,3,0,0,3
2020-02-17,3,0,0,3
2020-02-18,3,0,0,3
2020-02-19,3,0,0,3
2020-02-20,3,0,0,3
2020-02-21,20,1,0,19
2020-02-22,62,2,1,59
2020-02-23,155,3,2,150
2020-02-24,229,7,1,221
2020-02-25,322,10,1,311
2020-02-26,453,12,3,438
2020-02-27,655,17,45,593
2020-02-28,888,21,46,821
2020-02-29,1128,29,46,1053
2020-03-01,1694,34,83,1577
2020-03-02,2036,52,149,1835
2020-03-03,2502,79,160,2263
2020-03-04,3089,107,276,2706
2020-03-05,3858,148,414,3296
2020-03-06,4636,197,523,3916
2020-03-07,5883,233,589,5061
2020-03-08,7375,366,622,6387
2020-03-09,9172,463,724,7985
2020-03-10,10149,631,724,8794
2020-03-11,12462,827,1045,10590
2020-03-12,12462,827,1045,10590
2020-03-13,17660,1266,1439,14955
2020-03-14,21157,1441,1966,17750
2020-03-15,24747,1809,2335,20603
2020-03-16,27980,2158,2749,23073
2020-03-17,31506,2503,2941,26062
2020-03-18,35713,2978,4025,28710
2020-03-19,41035,3405,4440,33190
2020-03-20,47021,4032,4440,38549
2020-03-21,53578,4825,6072,42681
2020-03-22,59138,5476,7024,46638
2020-03-23,63927,6077,7432,50418
2020-03-24,69176,6820,8326,54030
2020-03-25,74386,7503,9362,57521
2020-03-26,80589,8215,10361,62013
2020-03-27,86498,9134,10950,66414
2020-03-28,92472,10023,12384,70065
2020-03-29,97689,10779,13030,73880
2020-03-30,101739,11591,14620,75528
2020-03-31,105792,12428,15729,77635
2020-04-01,110574,13155,16847,80572
2020-04-02,115242,13915,18278,83049
2020-04-03,119827,14681,19758,85388
2020-04-04,124632,15362,20996,88274
2020-04-05,128948,15887,21815,91246
2020-04-06,132547,16523,22837,93187
2020-04-07,135586,17127,24392,94067
2020-04-08,139422,17669,26491,95262
2020-04-09,143626,18279,28470,96877
2020-04-10,147577,18849,30455,98273
2020-04-11,152271,19468,32534,100269
2020-04-12,156363,19899,34211,102253
2020-04-13,159516,20465,35435,103616
2020-04-14,162488,21067,37130,104291
2020-04-15,165155,21645,38092,105418
2020-04-16,168941,22170,40164,106607
2020-04-17,172434,22745,42727,106962
2020-04-18,175925,23227,44927,107771
2020-04-19,178972,23660,47055,108257
2020-04-20,181228,24114,48877,108237
2020-04-21,183957,24648,51600,107709
2020-04-22,187327,25085,54543,107699
2020-04-23,189973,25549,57576,106848
2020-04-24,192994,25969,60498,106527
2020-04-25,195351,26384,63120,105847
2020-04-26,197675,26644,64928,106103
2020-04-27,199414,26977,66624,105813
2020-04-28,201505,27359,68941,105205
2020-04-29,203591,27682,71252,104657
2020-04-30,205463,27967,75945,101551
2020-05-01,207428,28236,78249,100943
2020-05-02,209328,28710,79914,100704
2020-05-03,210717,28884,81654,100179
2020-05-04,211938,29079,82879,99980
2020-05-05,213013,29315,85231,98467
2020-05-06,214457,29684,93245,91528
2020-05-07,215858,29958,96276,89624
2020-05-08,217185,30201,99023,87961
2020-05-09,218268,30395,103031,84842
2020-05-10,219070,30560,105186,83324
2020-05-11,219814,30739,106587,82488
2020-05-12,221216,30911,109039,81266
2020-05-13,222104,31106,112541,78457
